State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP
Himachal_Pradesh,2012,2,12,4,15,1,G.S. BALI,M,INC,23626,58,GEN,55257,74574,NAGROTA,GEN,KANGRA,BEAS RIVER REGION,8,74.1,42.76,no,4.96,2.86
Himachal_Pradesh,2012,2,12,4,15,2,ARUN KUMAR,M,IND,20883,48,GEN,55257,74574,NAGROTA,GEN,KANGRA,BEAS RIVER REGION,8,74.1,37.79,no,21.88,2.86
Himachal_Pradesh,2012,2,12,4,15,3,CHAUDHARY MANGAL SINGH,M,BJP,8793,52,GEN,55257,74574,NAGROTA,GEN,KANGRA,BEAS RIVER REGION,8,74.1,15.91,yes,14.68,2.86
Himachal_Pradesh,2012,2,12,4,15,4,CHARAN DASS CHOUDHARY,M,CPI,684,55,GEN,55257,74574,NAGROTA,GEN,KANGRA,BEAS RIVER REGION,8,74.1,1.24,yes,0.43,2.86
Himachal_Pradesh,2012,2,12,4,15,5,MULKH RAJ SHARMA,M,HiSP,445,57,GEN,55257,74574,NAGROTA,GEN,KANGRA,BEAS RIVER REGION,8,74.1,0.81,yes,0.18,2.86
Himachal_Pradesh,2012,2,12,4,15,6,COL. SHAKTI CHAND,M,AITC,343,70,GEN,55257,74574,NAGROTA,GEN,KANGRA,BEAS RIVER REGION,8,74.1,0.62,yes,0.13,2.86
Himachal_Pradesh,2012,2,12,4,15,7,SATISH KUMAR,M,LJP,271,57,GEN,55257,74574,NAGROTA,GEN,KANGRA,BEAS RIVER REGION,8,74.1,0.49,yes,0.11,2.86
Himachal_Pradesh,2012,2,12,4,15,8,PINKI DEVI,F,BSP,212,30,SC,55257,74574,NAGROTA,GEN,KANGRA,BEAS RIVER REGION,8,74.1,0.38,yes,0,2.86
Himachal_Pradesh,2012,2,12,4,16,2,CHOUDHARY SURENDER KUMAR,M,INC,14069,58,GEN,50457,68243,KANGRA,GEN,KANGRA,BEAS RIVER REGION,8,73.94,27.88,no,4.7,3.03
Himachal_Pradesh,2012,2,12,4,16,3,SANJAY CHAUDHARY,M,BJP,11700,46,GEN,50457,68243,KANGRA,GEN,KANGRA,BEAS RIVER REGION,8,73.94,23.19,no,7.4,3.03
Himachal_Pradesh,2012,2,12,4,16,6,RAM SWAROOP VERMA,M,HiSP,521,56,GEN,50457,68243,KANGRA,GEN,KANGRA,BEAS RIVER REGION,8,73.94,1.03,yes,0.01,3.03
Himachal_Pradesh,2012,2,12,4,16,7,VIJAY KUMAR BHARI,M,BSP,517,51,GEN,50457,68243,KANGRA,GEN,KANGRA,BEAS RIVER REGION,8,73.94,1.02,yes,0.2,3.03
Himachal_Pradesh,2012,2,12,4,16,4,DR. RAJESH SHARMA,M,IND,7966,46,GEN,50457,68243,KANGRA,GEN,KANGRA,BEAS RIVER REGION,8,73.94,15.79,yes,14.53,3.03
Himachal_Pradesh,2012,2,12,4,16,5,AMAN GULERIA,M,CPI,636,36,GEN,50457,68243,KANGRA,GEN,KANGRA,BEAS RIVER REGION,8,73.94,1.26,yes,0.23,3.03
Himachal_Pradesh,2012,2,12,4,16,1,PAWAN KAJAL,M,IND,14632,38,GEN,50457,68243,KANGRA,GEN,KANGRA,BEAS RIVER REGION,8,73.94,29,no,1.12,3.03
Himachal_Pradesh,2012,2,12,4,16,8,RAM NIWASH YADAV,M,SP,416,38,GEN,50457,68243,KANGRA,GEN,KANGRA,BEAS RIVER REGION,8,73.94,0.82,yes,0,3.03
Himachal_Pradesh,2012,2,12,4,17,3,NAND LAL,M,IND,1814,60,ST,52617,72593,SHAHPUR,GEN,KANGRA,BEAS RIVER REGION,7,72.48,3.45,yes,0.12,2.44
Himachal_Pradesh,2012,2,12,4,17,1,SARVEEN,F,BJP,25487,47,GEN,52617,72593,SHAHPUR,GEN,KANGRA,BEAS RIVER REGION,7,72.48,48.44,no,5.94,2.44
Himachal_Pradesh,2012,2,12,4,17,2,VIJAI SINGH,M,INC,22364,72,GEN,52617,72593,SHAHPUR,GEN,KANGRA,BEAS RIVER REGION,7,72.48,42.5,no,39.06,2.44
Himachal_Pradesh,2012,2,12,4,17,7,VIPAN KUMAR,M,LJP,311,43,GEN,52617,72593,SHAHPUR,GEN,KANGRA,BEAS RIVER REGION,7,72.48,0.59,yes,0,2.44
Himachal_Pradesh,2012,2,12,4,17,4,BALBIR SINGH,M,HLP,1750,43,GEN,52617,72593,SHAHPUR,GEN,KANGRA,BEAS RIVER REGION,7,72.48,3.33,yes,2.25,2.44
Himachal_Pradesh,2012,2,12,4,17,5,BANARSI DASS DOGRA,M,BSP,567,59,GEN,52617,72593,SHAHPUR,GEN,KANGRA,BEAS RIVER REGION,7,72.48,1.08,yes,0.46,2.44
