candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,gender,serious_criminal_cases,declared_pan,filed_itr,party_eci
Dile Ram Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3279,SERAJ,IND,0,12th Pass,145000,0,145000,29,GEN,MANDI,BEAS RIVER REGION,Male,false,true,false,Independent
Dr. Ashok Kumar Somal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3123,FATEHPUR,IND,0,Doctorate,13357000,0,13357000,8,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Dr. Devinder Kumar Soni,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3393,CHAMBA,IND,0,Graduate Professional,18154412,548084,17606328,3,GEN,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Independent
Dr. Kishori Lal Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3375,SHIMLA,Swabhiman Party,0,Doctorate,1320000,720000,600000,63,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Swabhiman Party
Dr. Rajeev Bindal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3212,NAHAN,BJP,1,Graduate Professional,80963575,8098868,72864707,56,GEN,SIRMOUR,SHIVALIK REGION,Male,true,true,true,Bharatiya Janata Party
Dr. Rajesh Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3251,KANGRA,IND,1,Post Graduate,748303097,13332656,734970441,16,GEN,KANGRA,BEAS RIVER REGION,Male,true,true,true,Independent
Dr. Ram Lal Markanda,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3435,LAHAUL & SPITI,BJP,0,Doctorate,8773811,0,8773811,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS,Male,false,true,true,Bharatiya Janata Party
Dr.Subhash Chand Manglate,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3090,CHOPAL,INC,0,Doctorate,79266881,12000000,67266881,60,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Indian National Congress
Duni Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3288,MANDI,IND,0,8th Pass,3150486,673000,2477486,33,GEN,MANDI,BEAS RIVER REGION,Male,false,true,false,Independent
G S Bali,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3245,NAGROTA,INC,0,Not Given,449644670,171250473,278394197,15,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Gagan Deep Prashar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3236,JASWAN-PRAGPUR,IND,1,12th Pass,2950000,1045000,1905000,11,GEN,KANGRA,BEAS RIVER REGION,Male,true,true,true,Independent
