candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region
Kewal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3110,SHAHPUR,INC,0,Post Graduate,27922603,3474255,24448348,17,GEN,KANGRA,BEAS RIVER REGION
Kirnesh Jung,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3354,PAONTA SAHIB,INC,0,12th Pass,83889425,6505550,77383875,58,GEN,SIRMOUR,SHIVALIK REGION
Kishan Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3115,DHARAMSHALA,BJP,1,12th Pass,79986396,1971733,78014663,18,GEN,KANGRA,BEAS RIVER REGION
Kishori Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3261,BAIJNATH,INC,0,10th Pass,41455034,600000,40855034,20,SC,KANGRA,BEAS RIVER REGION
Kishori Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3054,ANNI,BJP,0,Post Graduate,25293001,1550000,23743001,25,SC,KULLU,BEAS RIVER REGION
Kripal Singh Parmar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3226,FATEHPUR,BJP,0,Graduate Professional,27468286,800230,26668056,8,GEN,KANGRA,BEAS RIVER REGION
Krishan Lal Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3425,NALAGARH,BJP,3,Graduate Professional,27905607,7544353,20361254,51,GEN,SOLAN,SHIVALIK REGION
Kuldeep Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3141,HAMIRPUR,INC,0,Graduate,20144988,959322,19185666,38,GEN,HAMIRPUR,SHIVALIK REGION
Kuldeep Singh Pathania,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3418,BHATTIYAT,INC,0,Graduate Professional,89573130,2229043,87344087,5,GEN,CHAMBA,BEAS RIVER REGION
Kuldip Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3087,CHINTPURNI,INC,0,Graduate,23663487,3963174,19700313,41,SC,UNA,BEAS RIVER REGION
Kuldip Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3177,KANGRA,Lok Gathbandhan Party,0,Graduate,38314851,0,38314851,16,GEN,KANGRA,BEAS RIVER REGION
Kuldip Singh Tanwar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3370,KASUMPTI,CPI(M),1,Doctorate,104627992,0,104627992,62,GEN,SHIMLA,SHIMLA REGION
Kumari Vandna,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3074,SULLAH,IND,0,Post Graduate,605375,0,605375,14,GEN,KANGRA,BEAS RIVER REGION
Kushal Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3285,JOGINDERNAGAR,CPI(M),2,Post Graduate,2850163,0,2850163,31,GEN,MANDI,BEAS RIVER REGION
Kushal Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3096,SHIMLA RURAL,Swabhiman Party,0,Graduate,6474000,0,6474000,64,GEN,SHIMLA,SHIMLA REGION
Lakhvinder Singh Rana,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3426,NALAGARH,INC,0,Graduate,57201782,3408000,53793782,51,GEN,SOLAN,SHIVALIK REGION
