candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Deepak Rajak,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1239,KOTA,IND,1,12th Pass,6063726,0,6063726,25,GEN,BILASPUR,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Deepak Rajput,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=979,BILHA,CSM,0,Graduate Professional,220000,0,220000,29,GEN,BILASPUR,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Deepti Shah Mandavi,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1220,KHALLARI,IND,0,Post Graduate,4621966,0,4621966,41,GEN,MAHASAMUND,CHHATTISGARH PLAINS,false,true,false,Female,,,,,,
Dejirani Netam,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=280,MAHASAMUND,GGP,0,8th Pass,5220000,0,5220000,42,GEN,MAHASAMUND,CHHATTISGARH PLAINS,false,false,false,Female,,,,,,
Derahu Prasad Dhritlahre,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=224,NAWAGARH,CSM,0,5th Pass,37164458,287999,36876459,70,SC,BEMETARA,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Dev Kumar Jaiswal,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=271,JAIJAIPUR,Suhel Dev Bhartiya Samaj Party,0,12th Pass,925772,640000,285772,37,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Dev Kumar Kaneri,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=609,BELTARA,BSP,0,Post Graduate,1749425,0,1749425,31,GEN,BILASPUR,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Devanand Sahare,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=97,KHUJJI,NCP,0,12th Pass,863253,0,863253,77,GEN,RAJNANDGAON,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Devdatta Singh Painkra,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=530,SITAPUR,IND,0,8th Pass,161500,0,161500,11,ST,SURGUJA,NOTHERN HILLS,false,false,false,Male,,,,,,
Devendra Singh Bahadur,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=276,BASNA,INC,0,Graduate,19554305,200000,19354305,40,GEN,MAHASAMUND,CHHATTISGARH PLAINS,true,true,false,Male,http://myneta.info/chhattisgarh2013/index.php?action=affidavitComparison&myneta_folder2=2008Chhattisgarh&id1=276&id2=217,19554305,13077111,6477194,50%,PAN is Different
Devji Bhai Patel,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=448,DHARSIWA,BJP,1,Post Graduate,47384150,2149049,45235101,47,GEN,RAIPUR,CHHATTISGARH PLAINS,true,true,false,Male,http://myneta.info/chhattisgarh2013/index.php?action=affidavitComparison&myneta_folder2=2008Chhattisgarh&id1=448&id2=285,47384150,5860680,41523470,709%,
Devnarayan Dhruw,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=446,BASNA,GGP,0,10th Pass,2153000,0,2153000,40,GEN,MAHASAMUND,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Devnath Kashyap,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=115,JAGDALPUR,Bharatiya Dalit Congress,0,5th Pass,12127,0,12127,86,GEN,BASTAR (JAGDALPUR),BASTAR PLATEAU,false,true,false,Male,,,,,,
Devnath Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=738,RAJIM,CSM,0,10th Pass,15411169,230000,15181169,54,GEN,GARIABAND,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Devsharan Singh,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=802,PRATAPPUR,IND,0,10th Pass,254000,0,254000,6,ST,SURAJPUR,NOTHERN HILLS,false,false,false,Male,,,,,,
Devti  Karma,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=82,DANTEWADA,INC,0,Literate,46370860,218862,46151998,88,ST,DAKSHIN BASTAR DANTEWADA,BASTAR PLATEAU,true,true,false,Female,,,,,,
Dewsharan Nag,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1064,KHALLARI,SP,0,12th Pass,206000,0,206000,41,GEN,MAHASAMUND,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Dhajaram,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1204,MANENDRAGARH,IND,0,5th Pass,39885000,0,39885000,2,GEN,KORIA,NOTHERN HILLS,false,true,false,Male,,,,,,
Dhanendra Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=462,ABHANPUR,INC,2,12th Pass,53297846,1317332,51980514,53,GEN,RAIPUR,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Dhanesh Ram Chouhan,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=862,SARANGARH,IND,0,5th Pass,0,0,0,17,SC,RAIGARH,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Dhaneshwar Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1047,JAIJAIPUR,SHS,0,Graduate,3610000,0,3610000,37,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Dhani Ram Barse,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=60,KONTA,BJP,0,8th Pass,3579968,650319,2929649,90,ST,SUKUMA,BASTAR PLATEAU,false,false,false,Male,,,,,,
Dhani Yadav,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=978,BILHA,SP,0,8th Pass,0,0,0,29,GEN,BILASPUR,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Dhanka Nirala,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=325,SARANGARH,IND,0,Literate,2086000,0,2086000,17,SC,RAIGARH,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Dhanpat Singh Aayam,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=803,PRATAPPUR,IND,0,10th Pass,289000,350000,-61000,6,ST,SURAJPUR,NOTHERN HILLS,false,true,false,Male,,,,,,
Dharamjeet Singh,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=617,LORMI,INC,0,Graduate,22633450,2994793,19638657,26,GEN,MUNGELI,CHHATTISGARH PLAINS,true,true,false,Male,http://myneta.info/chhattisgarh2013/index.php?action=affidavitComparison&myneta_folder2=2008Chhattisgarh&id1=617&id2=17,22633450,7192579,15440871,215%,
