candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Kaberi Singha,http://myneta.info/tripura2018/candidate.php?candidate_id=5991,CHANDIPUR,BJP,0,8th Pass,2850856,183582,2667274,52,GEN,Unakoti,Tripura East,true,true,false,Female,,,,,,
Kalpa Mohan Tripura,http://myneta.info/tripura2018/candidate.php?candidate_id=5974,KARAMCHARA,IND,0,8th Pass,594903,0,594903,48,ST,Dhalai,Tripura East,false,false,false,Male,,,,,,
Kalyan Reang,http://myneta.info/tripura2018/candidate.php?candidate_id=5954,JOLAIBARI,IND,0,8th Pass,630,0,630,38,ST,South Tripura,Tripura East,false,false,false,Male,,,,,,
Kalyani Roy,http://myneta.info/tripura2018/candidate.php?candidate_id=5937,TELIAMURA,BJP,2,Graduate Professional,8518978,3288318,5230660,28,ST,Khowai,Tripura East,true,true,true,Female,,,,,,
Kanchai Mog,http://myneta.info/tripura2018/candidate.php?candidate_id=6070,MANU,IND,0,8th Pass,0,0,0,39,ST,South Tripura,Tripura East,false,false,false,Male,,,,,,
Karnadhan Chakma,http://myneta.info/tripura2018/candidate.php?candidate_id=6062,KANCHANPUR,AMB,0,8th Pass,79433,0,79433,60,ST,North Tripura,Tripura East,false,false,false,Male,,,,,,
Karnadhan Chakma,http://myneta.info/tripura2018/candidate.php?candidate_id=6074,PENCHARTHAL,AMB,0,8th Pass,79433,0,79433,59,ST,North Tripura,Tripura East,false,false,false,Male,,,,,,
Keshab Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5775,GOLAGHATI,CPI(M),0,10th Pass,3971141,0,3971141,17,ST,Sipahijala,Tripura West,false,true,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5775&id2=94,3971141,3735755,235386,6%,PAN was missing last time
Khagendra Jamatia,http://myneta.info/tripura2018/candidate.php?candidate_id=5790,KRISHNAPUR,CPI(M),0,8th Pass,1065705,330742,734963,29,ST,Khowai,Tripura East,false,false,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5790&id2=149,1065705,604944,460761,76%,
Khagendra Reang,http://myneta.info/tripura2018/candidate.php?candidate_id=5825,RAIMA VALLEY,TPP,0,5th Pass,100,0,100,44,ST,Dhalai,Tripura East,false,false,false,Male,,,,,,
Kripajay Reang,http://myneta.info/tripura2018/candidate.php?candidate_id=6025,KRISHNAPUR,IND,0,5th Pass,2811,0,2811,29,ST,Khowai,Tripura East,false,false,false,Male,,,,,,
