candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations
MANISHANKAR CHAKMA,http://myneta.info/tripura2008/candidate.php?candidate_id=211,Pencharthal,BJP,0,8th Pass,20000,0,20000,58,ST
MANORANJAN ACHARJEE,http://myneta.info/tripura2008/candidate.php?candidate_id=64,Birganj,CPM,0,Graduate,533500,0,533500,43,GEN
MAYA SAHA,http://myneta.info/tripura2008/candidate.php?candidate_id=22,Town Bordowali,AIFB,0,12th Pass,429732,0,429732,8,GEN
MD. GUNU MIA,http://myneta.info/tripura2008/candidate.php?candidate_id=189,Kamalpur,IND,0,8th Pass,282161,0,282161,45,GEN
MD. NURUL HAQUE,http://myneta.info/tripura2008/candidate.php?candidate_id=141,Kurti,INC,0,5th Pass,1351000,0,1351000,54,GEN
MILAN CHAKRABORTY,http://myneta.info/tripura2008/candidate.php?candidate_id=30,Agartala,BJP,0,Graduate,639000,0,639000,6,GEN
MIRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=310,Salgarh,INC,0,Post Graduate,3655729,0,3655729,31,SC
MONORANJAN DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=5,Mandaibazar,CPM,0,10th Pass,1124460,300000,824460,11,ST
MOZIR UDDIN,http://myneta.info/tripura2008/candidate.php?candidate_id=138,Kadamtala,AIFB,0,8th Pass,495274,0,495274,55,GEN
MRATHAIONG MOG,http://myneta.info/tripura2008/candidate.php?candidate_id=248,Manu,BJP,0,8th Pass,63600,0,63600,40,ST
MUJAMMEL AHAMMED SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=308,Radhakishorepur,CPI(ML)(L),0,10th Pass,970300,5392,964908,32,GEN
NAGENDRA JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=59,Ampinagar,INPT,0,Graduate,1086745,500000,586745,42,ST
NAIDAR BASI TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=270,Dhanpur,IND,1,10th Pass,105500,0,105500,22,GEN
NANDALAL DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=115,Pratapgarh,CPI(ML)(L),0,Literate,107200,0,107200,13,SC
